model,B1,aurora_test,delta_vs_B1,alpha,conf
gemma4-26b,0.5216177784976842,0.5193462070102527,-0.002271571487431512,0.7,0.5
mistral-24b,0.47871283175044443,0.47882243338368463,0.00010960163324019723,0.7,0.5
qwen3-32b,0.42408138213997115,0.44124314620082644,0.01716176406085529,0.7,0.5
mixtral-8x7b,0.2198128864316267,0.2459177514514946,0.026104865019867918,0.7,0.5
