model,entities_val,entities_test,lambda_ent_only,threeway_val,threeway_test,lambda_prior,lambda_nbr,lambda_ent
gemma4-26b,0.5644346091917544,0.5216177784976842,0.0,0.6659802672494892,0.6093941488084611,0.2,0.7,0.1
mistral-24b,0.4957032662432988,0.48262891687275333,0.4,0.6606618047164866,0.5971759824287705,0.2,0.7,0.1
qwen3-32b,0.45317315614471626,0.43788861228397835,0.4,0.6663499490316726,0.5921894325198844,0.2,0.7,0.1
mixtral-8x7b,0.31821817980859296,0.2426391721642304,0.7,0.6427269769007186,0.5821240490870296,0.0,1.0,0.0
