stratum,n,WR,RW,net
uncertain x reliable,2824,0.8364022662889519,0.6023371104815864,0.23406515580736542
uncertain x unreliable,2173,0.7749654855039116,0.7238840312931432,0.051081454210768484
certain x reliable,2176,0.5643382352941176,0.47794117647058826,0.08639705882352938
certain x unreliable,2827,0.6087725504067917,0.5426246904846127,0.06614785992217898
