model,grid,B1,B2
gemma4-26b,paper_0.10-0.85,0.5216177784976842,0.5286151349954628
gemma4-26b,cell13_0.05-0.95,0.5216177784976842,0.5258931996176939
mistral-24b,paper_0.10-0.85,0.47871283175044443,0.45896412219851473
mistral-24b,cell13_0.05-0.95,0.4675676927281058,0.45896412219851473
qwen3-32b,paper_0.10-0.85,0.42408138213997115,0.4024134188787943
qwen3-32b,cell13_0.05-0.95,0.42473697027170454,0.4024134188787943
mixtral-8x7b,paper_0.10-0.85,0.2198128864316267,0.18292980283480648
mixtral-8x7b,cell13_0.05-0.95,0.2610954431680549,0.18292980283480648
