model,vote,retrieval_only_val,retrieval_only_test,mix_val,mix_test,lambda
gemma4-26b,weighted_Eq5,0.6427269769007186,0.5821240490870296,0.6625018665904991,0.611613262299146,0.7000000000000001
gemma4-26b,unweighted_cell13,0.6386925598612143,0.5767233460720135,0.6641395951674302,0.608985547393346,0.7000000000000001
mistral-24b,weighted_Eq5,0.6427269769007186,0.5821240490870296,0.6561017694108076,0.5940953946602423,0.8
mistral-24b,unweighted_cell13,0.6386925598612143,0.5767233460720135,0.6550575479247376,0.5927435091098026,0.8
qwen3-32b,weighted_Eq5,0.6427269769007186,0.5821240490870296,0.6569392354035213,0.5831047725927838,0.7000000000000001
qwen3-32b,unweighted_cell13,0.6386925598612143,0.5767233460720135,0.6583605255887468,0.585385204016231,0.7000000000000001
mixtral-8x7b,weighted_Eq5,0.6427269769007186,0.5821240490870296,0.6427269769007186,0.5821240490870296,1.0
mixtral-8x7b,unweighted_cell13,0.6386925598612143,0.5767233460720135,0.6386925598612143,0.5767233460720135,1.0
