model,no_graph,target_agg,doc_neighbours
gemma4-26b,0.522252695185816,0.5359010985051432,0.6088149395550838
mistral-24b,0.47871570737394675,0.45971865086031827,0.5927613854111958
qwen3-32b,0.4254463599844733,0.4043174379233826,0.585385204016231
mixtral-8x7b,0.2209592727784793,0.18536457525786912,0.5782423109078846
