,alpha,conf,val_f1,test_f1,b2_f1,delta_b2
gemma4-26b,0.8,0.6,0.576068873622878,0.5231383877337806,0.522252695185816,0.0008856925479646671
mistral-24b,0.7,0.5,0.5064850271919686,0.4784725874744011,0.47871570737394675,-0.00024311989954567403
qwen3-32b,0.7,0.5,0.47369354644810086,0.4375587485592733,0.4254463599844733,0.012112388574800015
mixtral-8x7b,0.8,0.5,0.32957445790093337,0.2709620334172195,0.2209592727784793,0.050002760638740235
