mean_cosine,nbr_entropy,llm_entropy,llm_max,per_paper_WR,per_paper_RW,per_paper_net
0.55975837,0.39890233503959455,2.728948870365158,0.9,0,0,0
0.45094547,0.42962609562505466,2.728948870365158,0.9,1,0,1
0.52189654,0.48851763570558426,2.9863500302553123,0.8,0,1,-1
0.4838137,0.3877910936834846,3.1652325433817503,0.9,1,0,1
0.46127224,0.24037169317712118,2.776778210932318,0.9,0,1,-1
0.53654706,0.31843959308947184,2.921981709849717,0.9,0,0,0
0.5367171,0.3286899419923032,3.0372913370098584,0.8,1,0,1
0.25101987,0.4536771293264524,-0.0,0.8,0,1,-1
0.419053,0.3822731832370016,2.908173336682674,0.9,0,0,0
0.3852887,0.4064722375416578,3.353190671338322,0.4,1,1,0
0.3867603,0.3024176824072511,3.377135028187124,0.6,1,1,0
0.5130637,0.40965508842385484,2.9738513896100454,0.9,0,0,0
0.43676066,0.44967087338625394,2.959452421681926,0.9,1,1,0
0.4039158,0.3659625129135136,3.2460646160543205,0.6,1,1,0
0.5096639,0.31646382598857226,3.2192945256669794,0.8,1,0,1
0.40663677,0.4271644606413524,2.9738513896100454,0.9,2,1,1
0.43370482,0.4853739333207052,2.9738513896100454,0.9,0,1,-1
0.4636339,0.4784590047878684,2.9276073019174915,0.9,2,0,2
0.5298017,0.1980603096485209,2.95311500557286,0.9,2,0,2
0.39491898,0.43560130596751234,2.986350030255313,0.8,1,1,0
0.42717725,0.4714493023017153,2.9081733366826743,0.9,0,2,-2
0.41914016,0.34855392937503077,2.908173336682674,0.9,0,1,-1
0.5346597,0.3777411974797673,2.776778210932318,0.9,1,0,1
0.50042564,0.3511912261805377,2.986350030255313,0.8,0,0,0
0.5199269,0.4785092461538631,2.9793394888389986,0.9,1,3,-2
0.369663,0.45926345548131264,2.829955342950558,0.7,0,2,-2
0.37768707,0.3808160160514281,2.490107480141255,0.9,1,0,1
0.4805788,0.3963813092157626,1.8647869792568113,0.9,0,1,-1
0.44490936,0.3596608354043983,2.397742260857835,0.9,2,0,2
0.49547386,0.38017967274674414,2.6949101001896216,1.0,2,0,2
0.36997643,0.3792391651690395,2.776778210932318,0.9,1,0,1
0.34427434,0.409807751779272,2.8851204539117536,0.8,0,0,0
0.5424969,0.39522189111925493,2.9532908525815538,0.9,0,3,-3
0.46384543,0.43281713902629176,2.8798554875455857,0.9,0,1,-1
0.37581855,0.5487837950923263,3.0939422602619,0.7,0,2,-2
0.4423985,0.32936332687920844,3.129283016944966,0.8,0,1,-1
0.31813473,0.4769042635812947,-0.0,0.3,0,0,0
0.44111806,0.3418476062049269,3.087464172602364,0.9,1,1,0
0.38943586,0.25027848926851737,3.0443941193584534,0.8,2,0,2
0.5242296,0.377366815925966,3.2979531658874017,0.9,3,0,3
0.34001,0.41803159652479793,3.530750178437043,0.9,1,0,1
0.38398173,0.4137948651777828,2.725480556997868,0.2,1,0,1
0.40098077,0.34366357508760326,1.8452178053170998,0.8,0,0,0
0.3366777,0.400169194166802,2.348083585113009,0.8,0,0,0
0.4840516,0.43987298455098844,2.3151277160800037,0.9,0,1,-1
0.48373178,0.46183500412834144,2.5168719466545255,0.9,3,1,2
0.49161163,0.4000526930902281,-0.0,0.9,0,0,0
0.40689933,0.3487349211315265,0.9957274520849255,0.7,1,0,1
0.47249386,0.45430919162923106,1.9686551350647843,0.9,0,1,-1
0.3850588,0.3079896862614594,0.9612366047228759,0.8,0,0,0
0.35082904,0.3307850442837979,3.0,0.8,1,0,1
0.24986205,0.5073111522430441,3.14624062518029,0.9,0,0,0
0.3988242,0.4138678599718934,2.963134910393311,0.9,1,1,0
0.39174718,0.34488685946185443,2.9830749314332756,0.8,0,0,0
0.43812612,0.3072210605353906,3.172233675219988,0.8,1,1,0
0.58850014,0.2361232532566983,3.6818808028034025,0.4,0,0,0
